iter	MultiClass
0	2.269049669
1	2.237919622
2	2.209198443
3	2.182625901
4	2.157118564
5	2.134010565
6	2.11241578
7	2.092598765
8	2.073080262
9	2.055334012
10	2.037190783
11	2.020937512
12	2.005284682
13	1.990654631
14	1.976508081
15	1.963088395
16	1.950676966
17	1.936623197
18	1.924303473
19	1.913915997
20	1.901079921
21	1.890247137
22	1.880327429
23	1.870616179
24	1.860111893
25	1.851356731
26	1.842098914
27	1.833216654
28	1.82437262
29	1.816408115
30	1.808325255
31	1.800618319
32	1.792859532
33	1.785207779
34	1.778239336
35	1.771554114
36	1.764501948
37	1.757642428
38	1.751329299
39	1.745696547
40	1.739767245
41	1.733950446
42	1.728851591
43	1.722872274
44	1.717342974
45	1.71230479
46	1.707099338
47	1.702196154
48	1.69720025
49	1.692782466
50	1.688351107
51	1.683429256
52	1.678772276
53	1.674323979
54	1.67038348
55	1.666492123
56	1.663143192
57	1.659054379
58	1.65527183
59	1.651334597
60	1.647282077
61	1.643259764
62	1.639513616
63	1.636101937
64	1.632423357
65	1.629117112
66	1.625827144
67	1.622226123
68	1.61924336
69	1.616322978
70	1.613564115
71	1.610846397
72	1.60765699
73	1.604411151
74	1.601562932
75	1.599089231
76	1.596345865
77	1.59348591
78	1.590861351
79	1.588359523
80	1.586112774
81	1.583960648
82	1.58125543
83	1.579105521
84	1.576623015
85	1.574602993
86	1.572660423
87	1.570436719
88	1.568091191
89	1.566173526
90	1.56421047
91	1.561850651
92	1.559866462
93	1.557768391
94	1.555729251
95	1.554480039
96	1.55275624
97	1.55071238
98	1.548975295
99	1.547036403
100	1.545203767
101	1.543461416
102	1.541511696
103	1.539632012
104	1.538328155
105	1.536977664
106	1.535264506
107	1.533804238
108	1.532262687
109	1.530864274
110	1.529290407
111	1.527947228
112	1.526539104
113	1.525172356
114	1.523749498
115	1.522400703
116	1.520899378
117	1.519456681
118	1.517994917
119	1.516603804
120	1.515298905
121	1.514206291
122	1.512990693
123	1.511936281
124	1.51058135
125	1.509131969
126	1.507660496
127	1.50631189
128	1.504970214
129	1.504004642
130	1.502931046
131	1.501823183
132	1.500885076
133	1.499929786
134	1.498465765
135	1.497511897
136	1.496308246
137	1.495428966
138	1.494334043
139	1.493102401
140	1.492070485
141	1.491009563
142	1.489964707
143	1.489055373
144	1.488079204
145	1.486731162
146	1.485610833
147	1.484610952
148	1.483571177
149	1.482753496
150	1.481511781
151	1.480757036
152	1.479906518
153	1.478854791
154	1.477875059
155	1.476856259
156	1.475684887
157	1.474226988
158	1.47326957
159	1.472278112
160	1.471560733
161	1.470946517
162	1.47019728
163	1.46940839
164	1.468628323
165	1.467820387
166	1.466794787
167	1.465993832
168	1.464913969
169	1.46432076
170	1.463603042
171	1.462745748
172	1.46190159
173	1.460980386
174	1.460085076
175	1.45923196
176	1.458206556
177	1.457588664
178	1.456845157
179	1.45621809
180	1.455465322
181	1.454776694
182	1.454055571
183	1.453272108
184	1.452413885
185	1.451436685
186	1.450774479
187	1.450133244
188	1.449575115
189	1.448858821
190	1.448045943
191	1.447261539
192	1.446474691
193	1.445873477
194	1.445406481
195	1.444771546
196	1.443918009
197	1.443131406
198	1.442502348
199	1.441846386
200	1.441096861
201	1.440432217
202	1.439948156
203	1.439232792
204	1.438705023
205	1.437836651
206	1.437258368
207	1.43663781
208	1.4360498
209	1.435394967
210	1.434820338
211	1.434245443
212	1.433710928
213	1.433103707
214	1.432415478
215	1.431936588
216	1.43127662
217	1.430624604
218	1.429917285
219	1.429355115
220	1.428935912
221	1.42835773
222	1.427715601
223	1.427309664
224	1.426716802
225	1.426304114
226	1.425476378
227	1.424862102
228	1.424448002
229	1.423932248
230	1.423225867
231	1.422784281
232	1.422246449
233	1.421708817
234	1.421005511
235	1.420621014
236	1.420014823
237	1.41941573
238	1.418912296
239	1.418178873
240	1.417526165
241	1.417020465
242	1.416537958
243	1.416076915
244	1.415466406
245	1.41494552
246	1.414328815
247	1.4137075
248	1.413223099
249	1.412657542
250	1.411992747
251	1.411629334
252	1.411169902
253	1.410844367
254	1.410337858
255	1.409711328
256	1.409206728
257	1.408513017
258	1.407827045
259	1.407371914
260	1.406924457
261	1.406483401
262	1.406095665
263	1.405672587
264	1.405181991
265	1.404804533
266	1.404413743
267	1.404061228
268	1.403457707
269	1.402998838
270	1.40264374
271	1.402135405
272	1.401611874
273	1.40120408
274	1.400743028
275	1.400309314
276	1.399830943
277	1.399290538
278	1.398754618
279	1.398388639
280	1.397830293
281	1.397428772
282	1.397100524
283	1.396565871
284	1.396192845
285	1.395743735
286	1.395461155
287	1.394936912
288	1.394544485
289	1.394198722
290	1.393853494
291	1.393430598
292	1.393026486
293	1.392548581
294	1.392130401
295	1.391516349
296	1.390997401
297	1.390474098
298	1.390061464
299	1.38952027
300	1.389157764
301	1.388814539
302	1.388374509
303	1.388120218
304	1.387830169
305	1.387348908
306	1.387050983
307	1.38647207
308	1.386009064
309	1.385478486
310	1.385150707
311	1.384693464
312	1.384335069
313	1.383908404
314	1.383532524
315	1.383070348
316	1.382671531
317	1.382363914
318	1.381811083
319	1.381546891
320	1.381119502
321	1.380750338
322	1.38035515
323	1.379980727
324	1.379572404
325	1.37903617
326	1.378683405
