iter	Passed	Remaining
0	270	134759
1	526	131039
2	782	129702
3	1032	127986
4	1208	119690
5	1369	112730
6	1506	106067
7	1666	102474
8	1877	102425
9	2068	101348
10	2227	99044
11	2366	96235
12	2525	94604
13	2690	93400
14	2832	91599
15	3031	91690
16	3165	89929
17	3275	87706
18	3408	86300
19	3569	85662
20	3768	85956
21	3953	85905
22	4167	86432
23	4309	85464
24	4469	84912
25	4696	85616
26	4831	84640
27	5058	85263
28	5170	83973
29	5303	83088
30	5487	83017
31	5680	83074
32	5840	82652
33	6036	82734
34	6231	82788
35	6436	82961
36	6596	82542
37	6832	83063
38	7094	83858
39	7258	83478
40	7423	83110
41	7587	82735
42	7784	82736
43	7995	82866
44	8134	82248
45	8274	81670
46	8399	80953
47	8543	80449
48	8695	80037
49	8888	79999
50	9026	79465
51	9184	79127
52	9316	78574
53	9431	77898
54	9552	77290
55	9686	76802
56	9802	76182
57	9983	76083
58	10197	76224
59	10324	75710
60	10477	75403
61	10592	74832
62	10706	74264
63	10810	73647
64	10898	72936
65	11030	72531
66	11165	72156
67	11345	72075
68	11544	72111
69	11693	71831
70	11780	71179
71	11872	70574
72	12053	70506
73	12214	70316
74	12332	69886
75	12475	69598
76	12675	69634
77	12911	69857
78	13077	69691
79	13174	69166
80	13326	68934
81	13519	68916
82	13699	68829
83	13813	68408
84	14031	68508
85	14179	68258
86	14338	68064
87	14479	67792
88	14643	67621
89	14810	67469
90	14989	67371
91	15190	67368
92	15322	67057
93	15474	66836
94	15602	66515
95	15738	66230
96	15878	65970
97	16078	65955
98	16256	65847
99	16413	65655
100	16519	65261
101	16661	65012
102	16767	64627
103	16922	64434
104	17165	64575
105	17288	64260
106	17462	64137
107	17615	63936
108	17756	63693
109	17897	63455
110	18088	63389
111	18223	63132
112	18374	62930
113	18522	62716
114	18666	62492
115	18833	62346
116	19027	62287
117	19180	62093
118	19325	61875
119	19487	61711
120	19654	61561
121	19824	61422
122	20053	61466
123	20285	61509
124	20493	61481
125	20678	61378
126	20887	61347
127	21064	61217
128	21246	61104
129	21385	60866
130	21564	60743
131	21748	60632
132	21894	60416
133	22119	60416
134	22276	60229
135	22473	60149
136	22708	60168
137	22893	60053
138	23100	59994
139	23220	59709
140	23369	59501
141	23507	59266
142	23638	59012
143	23774	58776
144	23895	58503
145	24142	58537
146	24362	58503
147	24573	58446
148	24768	58346
149	24952	58222
150	25108	58031
151	25231	57766
152	25351	57496
153	25505	57304
154	25683	57167
155	25823	56943
156	25962	56721
157	26182	56674
158	26355	56523
159	26536	56389
160	26653	56120
161	26822	55962
162	26999	55820
163	27215	55757
164	27368	55565
165	27525	55382
166	27664	55162
167	27824	54985
168	27986	54813
169	28175	54693
170	28373	54590
171	28559	54463
172	28724	54294
173	28885	54119
174	29128	54095
175	29320	53975
176	29476	53789
177	29708	53743
178	29847	53525
179	30036	53398
180	30184	53197
181	30321	52979
182	30513	52857
183	30665	52664
184	30800	52444
185	31004	52340
186	31201	52224
187	31331	51996
188	31435	51727
189	31569	51508
190	31689	51266
191	31825	51052
192	31976	50864
193	32164	50733
194	32346	50593
195	32522	50442
196	32653	50223
197	32785	50006
198	32944	49830
199	33056	49584
200	33198	49384
201	33308	49137
202	33441	48926
203	33595	48746
204	33733	48543
205	33855	48318
206	34009	48139
207	34150	47942
208	34303	47762
209	34443	47564
210	34572	47352
211	34675	47105
212	34773	46854
213	34860	46589
214	35063	46479
215	35195	46275
216	35302	46039
217	35398	45790
218	35490	45538
219	35622	45337
220	35734	45112
221	35874	44924
222	35989	44704
223	36130	44517
224	36300	44367
225	36434	44173
226	36600	44016
227	36718	43803
228	36827	43581
229	36947	43372
230	37113	43218
231	37287	43073
232	37412	42871
233	37538	42672
234	37714	42529
235	37871	42365
236	38029	42201
237	38167	42016
238	38281	41805
239	38440	41643
240	38592	41474
241	38747	41309
242	38947	41191
243	39110	41033
244	39243	40845
245	39362	40642
246	39466	40425
247	39574	40212
248	39686	40004
249	39786	39786
250	39906	39588
251	40063	39427
252	40237	39283
253	40342	39072
254	40488	38900
255	40680	38773
256	40804	38581
257	40922	38384
258	41051	38198
259	41182	38014
260	41289	37809
261	41412	37619
262	41525	37420
263	41612	37199
264	41768	37039
265	41902	36861
266	42026	36674
267	42165	36501
268	42338	36357
269	42508	36211
270	42604	36001
271	42763	35845
272	42886	35660
273	43027	35489
274	43194	35340
275	43295	35138
276	43388	34930
277	43500	34737
278	43603	34538
279	43768	34389
280	43881	34199
281	44067	34066
282	44197	33889
283	44324	33711
284	44458	33538
285	44600	33372
286	44701	33175
287	44838	33005
288	45018	32868
289	45138	32686
290	45263	32508
291	45428	32360
292	45542	32175
293	45666	31997
294	45781	31814
295	45960	31675
296	46156	31548
297	46330	31405
298	46476	31243
299	46603	31069
300	46721	30888
301	46828	30702
302	47025	30574
303	47115	30376
304	47247	30207
305	47394	30047
306	47504	29864
307	47608	29677
308	47726	29500
309	47838	29320
310	47921	29122
311	48055	28956
312	48197	28795
313	48308	28615
314	48429	28442
315	48552	28271
316	48686	28106
317	48798	27928
318	48945	27771
319	49110	27624
320	49220	27446
321	49304	27255
322	49400	27070
323	49489	26883
324	49600	26708
325	49736	26546
326	49859	26378
327	50032	26236
328	50188	26085
329	50331	25928
330	50433	25749
331	50542	25575
332	50620	25386
333	50755	25225
334	50925	25082
335	51083	24933
336	51198	24763
337	51334	24604
338	51454	24437
339	51611	24287
340	51736	24123
341	51892	23973
342	51977	23791
343	52205	23674
344	52328	23509
345	52451	23345
346	52553	23172
347	52666	23003
348	52754	22824
349	52930	22684
350	53123	22551
351	53246	22387
352	53350	22216
353	53457	22047
354	53599	21892
355	53710	21725
356	53826	21560
357	53943	21396
358	54085	21242
359	54210	21081
360	54336	20921
361	54453	20758
362	54588	20602
363	54711	20441
364	54838	20282
365	54950	20118
366	55111	19972
367	55237	19813
368	55351	19650
369	55486	19495
370	55612	19336
371	55705	19167
372	55848	19015
373	56049	18882
374	56204	18734
375	56323	18574
376	56436	18413
377	56567	18257
378	56674	18094
379	56764	17925
380	56869	17762
381	57040	17619
382	57241	17486
383	57356	17326
384	57494	17173
385	57630	17020
386	57761	16865
387	57882	16708
388	58068	16569
389	58231	16424
390	58344	16264
391	58492	16115
392	58601	15955
393	58707	15794
394	58789	15627
395	58881	15463
396	59015	15311
397	59192	15169
398	59306	15012
399	59410	14852
400	59516	14693
401	59676	14548
402	59775	14387
403	59887	14230
404	60047	14085
405	60228	13944
406	60362	13792
407	60517	13646
408	60633	13490
409	60821	13351
410	60964	13201
411	61171	13065
412	61287	12910
413	61437	12762
414	61571	12610
415	61669	12452
416	61782	12297
417	61947	12152
418	62181	12020
419	62426	11890
420	62711	11767
421	62938	11633
422	63173	11499
423	63385	11361
424	63499	11205
425	63628	11052
426	63753	10899
427	63924	10753
428	64207	10626
429	64330	10472
430	64463	10320
431	64629	10173
432	64769	10022
433	64927	9873
434	65148	9734
435	65261	9579
436	65419	9431
437	65512	9273
438	65586	9113
439	65751	8966
440	65895	8815
441	66081	8671
442	66234	8522
443	66403	8375
444	66533	8223
445	66695	8075
446	66848	7926
447	66992	7775
448	67190	7631
449	67338	7482
450	67496	7333
451	67665	7185
452	67895	7044
453	68097	6899
454	68376	6762
455	68518	6611
456	68664	6460
457	68815	6310
458	68948	6158
459	69088	6007
460	69250	5858
461	69419	5709
462	69583	5560
463	69715	5408
464	69849	5257
465	70016	5108
466	70210	4961
467	70400	4813
468	70545	4662
469	70730	4514
470	70878	4364
471	71005	4212
472	71189	4063
473	71365	3914
474	71574	3767
475	71746	3617
476	71917	3467
477	72089	3317
478	72298	3169
479	72447	3018
480	72644	2869
481	72809	2719
482	72985	2568
483	73171	2418
484	73357	2268
485	73487	2116
486	73617	1965
487	73765	1813
488	73972	1664
489	74163	1513
490	74352	1362
491	74504	1211
492	74676	1060
493	74816	908
494	74965	757
495	75160	606
496	75312	454
497	75468	303
498	75605	151
499	75721	0
